absolute_amount_difference,absolute_amount_difference_vs_gross,amount_difference,amount_ratio,bank_amount,bank_category,best_vs_second_best_amount_gap,best_vs_second_best_date_gap,best_vs_second_best_reference_gap,candidate_count,candidate_rank_by_amount,candidate_rank_by_date,candidate_rank_by_reference,date_difference_days,description_token_overlap,exact_amount_match,is_best_amount_candidate,is_best_date_candidate,is_best_reference_candidate,label,merchant_match,payment_count,reference_exact_match,relative_amount_difference,same_day,settlement_fee_amount,settlement_fee_tax_amount,settlement_gross_amount,settlement_net_amount,settlement_refund_amount,transaction_type_is_credit,utr_similarity,value_date_difference_days,within_1_day,within_3_days,within_7_days
2964.429999999993,127691.01000000001,-2964.429999999993,0.9847758072338013,191753.94,SETTLEMENT,1448.8999999999942,1.0,0.47058823529411764,8,1,2,1,1,0.0,0,1,0,1,1,1,7,1,0.015224192766198654,0,3156.24,568.12,319444.95,194718.37,121002.22,1,1.0,1,1,1,1
4413.329999999987,6090.639999999985,-4413.329999999987,0.9775022102310952,191753.94,SETTLEMENT,1448.8999999999942,1.0,0.47058823529411764,8,2,7,7,31,0.0,0,0,0,0,0,1,4,0,0.02249778976890481,0,1421.45,255.86,197844.58,196167.27,0.0,1,0.47058823529411764,29,0,0,0
12519.619999999995,72429.59000000003,-12519.619999999995,0.9387115004017162,191753.94,SETTLEMENT,1448.8999999999942,1.0,0.47058823529411764,8,3,6,3,27,0.0,0,0,0,0,0,1,6,0,0.061288499598283766,0,977.87,176.01,264183.53,204273.56,58756.09,1,0.5294117647058824,25,0,0,0
178015.33000000002,256671.19,-178015.33000000002,0.518577273876761,191753.94,SETTLEMENT,1448.8999999999942,1.0,0.47058823529411764,8,8,1,2,0,0.0,0,0,1,0,0,1,10,0,0.481422726123239,1,2055.21,369.93,448425.13,369769.27,76230.72,1,0.5294117647058824,2,1,1,1
115732.77999999997,206600.15999999997,-115732.77999999997,0.6236169809219729,191753.94,SETTLEMENT,1448.8999999999942,1.0,0.47058823529411764,8,6,3,8,1,0.0,0,0,0,0,0,1,10,0,0.3763830190780271,0,4197.41,755.54,398354.1,307486.72,85914.43,1,0.4117647058823529,1,1,1,1
39506.369999999995,80073.76000000001,-39506.369999999995,0.8291692595240403,191753.94,SETTLEMENT,1448.8999999999942,1.0,0.47058823529411764,8,5,4,5,2,0.0,0,0,0,0,0,1,6,0,0.17083074047595972,0,3357.02,604.26,271827.7,231260.31,36606.11,1,0.47058823529411764,0,0,1,1
30830.459999999992,34690.06,-30830.459999999992,0.8614886757562525,191753.94,SETTLEMENT,1448.8999999999942,1.0,0.47058823529411764,8,4,5,6,9,0.0,0,0,0,0,0,1,5,0,0.1385113242437475,0,3270.85,588.75,226444.0,222584.4,0.0,1,0.47058823529411764,7,0,0,0
119142.59,118430.21,119142.59,2.64082598657097,191753.94,SETTLEMENT,1448.8999999999942,1.0,0.47058823529411764,8,7,8,4,31,0.0,0,0,0,0,0,0,11,0,1.6408259865709698,0,603.71,108.67,73323.73,72611.35,0.0,1,0.5294117647058824,29,0,0,0
7766.989999999991,42798.380000000005,-7766.989999999991,0.9794271681347906,369769.27,SETTLEMENT,7784.650000000023,3.0,0.0,4,1,3,2,21,0.0,0,1,0,0,0,1,15,0,0.020572831865209425,0,4183.03,752.94,412567.65,377536.26,30095.42,1,0.5294117647058824,19,0,0,0
15551.640000000014,42285.26999999996,15551.640000000014,1.0439041952824313,369769.27,SETTLEMENT,7784.650000000023,3.0,0.0,4,2,2,4,4,0.0,0,0,0,0,0,1,9,0,0.04390419528243135,0,2078.33,374.1,412054.54,354217.63,55384.48,1,0.35294117647058826,2,0,0,1
