experiment,model,feature_count,validation_macro_f1,validation_f1,validation_pr_auc,validation_roc_auc,threshold
AMOUNT_ONLY,Random Forest,12,0.8466120186353718,0.7096774193548387,0.7670270027385729,0.9466861598440545,0.505
AMOUNT_ONLY,XGBoost,12,0.8366308648954212,0.6896551724137931,0.74146024721304,0.9233918128654971,0.9400000000000001
AMOUNT_ONLY,LightGBM,12,0.8232415902140673,0.6666666666666666,0.7392834944159229,0.9333333333333333,0.935
AMOUNT_ONLY,Logistic Regression,12,0.821273964131107,0.6666666666666666,0.7905939246649367,0.9744639376218324,0.985
CONTEXT_ONLY,Random Forest,3,0.5235549782684719,0.10810810810810811,0.1196854078327313,0.7456140350877194,0.97
CONTEXT_ONLY,XGBoost,3,0.5211500974658869,0.10526315789473684,0.12016541124499952,0.7430799220272905,0.685
CONTEXT_ONLY,LightGBM,3,0.5211500974658869,0.10526315789473684,0.1134693473602322,0.7309941520467836,0.6900000000000001
CONTEXT_ONLY,Logistic Regression,3,0.48300536672629696,0.0,0.1415929462109367,0.7580896686159844,0.975
DATE_ONLY,Random Forest,6,0.6319192710884687,0.3389830508474576,0.2181781875293904,0.8400584795321637,0.975
DATE_ONLY,XGBoost,6,0.6065932765151515,0.30303030303030304,0.2062402264275527,0.8499025341130604,0.785
DATE_ONLY,LightGBM,6,0.6032654730262581,0.29850746268656714,0.20324151383009065,0.8458089668615985,0.7000000000000001
DATE_ONLY,Logistic Regression,6,0.6032036613272311,0.3368421052631579,0.17310032857131402,0.8280701754385965,0.9650000000000001
ENTITY_ONLY,Logistic Regression,1,0.48300536672629696,0.0,0.0892018779342723,0.6407407407407407,0.9600000000000001
ENTITY_ONLY,Random Forest,1,0.48300536672629696,0.0,0.0892018779342723,0.6407407407407407,0.9600000000000001
ENTITY_ONLY,XGBoost,1,0.48300536672629696,0.0,0.0892018779342723,0.6407407407407407,0.59
ENTITY_ONLY,LightGBM,1,0.48300536672629696,0.0,0.0892018779342723,0.6407407407407407,0.5850000000000001
NO_AMOUNT,Logistic Regression,23,1.0,1.0,1.0,1.0,0.25
NO_AMOUNT,Random Forest,23,1.0,1.0,1.0,0.9999999999999999,0.075
NO_AMOUNT,XGBoost,23,1.0,1.0,1.0,1.0,0.01
NO_AMOUNT,LightGBM,23,1.0,1.0,0.9999999999999996,1.0,0.01
NO_AMOUNT_NO_DATE,Logistic Regression,17,1.0,1.0,0.9999999999999996,1.0,0.20500000000000002
NO_AMOUNT_NO_DATE,Random Forest,17,1.0,1.0,1.0,1.0,0.105
NO_AMOUNT_NO_DATE,XGBoost,17,1.0,1.0,1.0,0.9999999999999999,0.01
NO_AMOUNT_NO_DATE,LightGBM,17,1.0,1.0,0.9999999999999998,1.0,0.01
REFERENCE_TEXT_ONLY,Logistic Regression,3,1.0,1.0,1.0,1.0,0.35500000000000004
REFERENCE_TEXT_ONLY,Random Forest,3,1.0,1.0,1.0,1.0,0.01
REFERENCE_TEXT_ONLY,XGBoost,3,1.0,1.0,1.0,1.0,0.01
REFERENCE_TEXT_ONLY,LightGBM,3,1.0,1.0,1.0,0.9999999999999999,0.01
